GeographyCode,DateCode,Measurement,Units,Value,Breakdown of Domestic Tourism,Age,Marital Status,Gender,Employment Status,Children,Access to Car,Social Grade
S92000003,2016,Count,Million Visits,42,Visits,All,All,All,All,All,All,C1
S92000003,2013,Count,million pounds (GBP),1449,Expenditure,All,All,All,All,All,All,C1
S92000003,2016,Count,million pounds (GBP),1465,Expenditure,All,All,All,All,All,All,C1
S92000003,2015,Count,Million Visits,46,Visits,All,All,All,All,All,All,C1
S92000003,2014,Count,million pounds (GBP),1892,Expenditure,All,All,All,All,All,All,C1
S92000003,2014,Count,Million Visits,41,Visits,All,All,All,All,All,All,C1
S92000003,2013,Count,Million Visits,40,Visits,All,All,All,All,All,All,C1
S92000003,2015,Count,million pounds (GBP),1418,Expenditure,All,All,All,All,All,All,C1
S92000003,2016,Count,Million Visits,25,Visits,All,All,All,All,All,All,C2
S92000003,2014,Count,million pounds (GBP),618,Expenditure,All,All,All,All,All,All,C2
S92000003,2016,Count,million pounds (GBP),915,Expenditure,All,All,All,All,All,All,C2
S92000003,2013,Count,million pounds (GBP),1076,Expenditure,All,All,All,All,All,All,C2
S92000003,2015,Count,million pounds (GBP),448,Expenditure,All,All,All,All,All,All,C2
S92000003,2014,Count,Million Visits,18,Visits,All,All,All,All,All,All,C2
S92000003,2013,Count,Million Visits,23,Visits,All,All,All,All,All,All,C2
S92000003,2015,Count,Million Visits,16,Visits,All,All,All,All,All,All,C2
S92000003,2014,Count,million pounds (GBP),612,Expenditure,All,All,All,All,All,All,DE
S92000003,2015,Count,Million Visits,19,Visits,All,All,All,All,All,All,DE
S92000003,2013,Count,Million Visits,22,Visits,All,All,All,All,All,All,DE
S92000003,2015,Count,million pounds (GBP),573,Expenditure,All,All,All,All,All,All,DE
S92000003,2013,Count,million pounds (GBP),522,Expenditure,All,All,All,All,All,All,DE
S92000003,2016,Count,Million Visits,25,Visits,All,All,All,All,All,All,DE
S92000003,2014,Count,Million Visits,22,Visits,All,All,All,All,All,All,DE
S92000003,2016,Count,million pounds (GBP),729,Expenditure,All,All,All,All,All,All,DE
S92000003,2015,Count,million pounds (GBP),1484,Expenditure,All,All,All,All,All,All,AB
S92000003,2014,Count,Million Visits,47,Visits,All,All,All,All,All,All,AB
S92000003,2013,Count,Million Visits,39,Visits,All,All,All,All,All,All,AB
S92000003,2015,Count,Million Visits,44,Visits,All,All,All,All,All,All,AB
S92000003,2014,Count,million pounds (GBP),1898,Expenditure,All,All,All,All,All,All,AB
S92000003,2016,Count,Million Visits,50,Visits,All,All,All,All,All,All,AB
S92000003,2013,Count,million pounds (GBP),1600,Expenditure,All,All,All,All,All,All,AB
S92000003,2016,Count,million pounds (GBP),1807,Expenditure,All,All,All,All,All,All,AB
S92000003,2016,Count,Million Visits,85,Visits,All,Married,All,All,All,All,All
S92000003,2016,Count,Million Visits,57,Visits,All,Not Married,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),4647,Expenditure,All,All,All,All,All,All,All
S92000003,2013,Count,million pounds (GBP),2257,Expenditure,All,All,Male,All,All,All,All
S92000003,2013,Count,million pounds (GBP),2389,Expenditure,All,All,Female,All,All,All,All
S92000003,2013,Count,million pounds (GBP),3328,Expenditure,All,Married,All,All,All,All,All
